"maquina","programa","celula","data","hora","trabaho_n","metodo","dias","secao_cp","forca_max","resistencia_obtida","cp"
"Emic SSH300","Tesc versão 3.04","Trd 30","10/4/2023","9:52:11","1086","Axial","sete","78.53979","15,864.94 ","19.81","cp1"
"Emic SSH300","Tesc versão 3.04","Trd 30","10/4/2023","9:52:11","1086","Axial","sete","78.53979","12,524.17 ","15.64","cp2"
"Emic SSH300","Tesc versão 3.04","Trd 30","10/25/2023","10:43:56","1114","Diametral","vinte e oito","706.85022","9033.58","1.25","cp3"
"Emic SSH300","Tesc versão 3.04","Trd 30","10/25/2023","10:43:56","1114","Diametral","vinte e oito","706.85022","7220.87","1","cp4"
"Emic SSH300","Tesc versão 3.04","Trd 30","10/25/2023","10:52:46","1115","Axial","vinte e oito","78.53979","21,235.65 ","26.52","cp5"
"Emic SSH300","Tesc versão 3.04","Trd 30","10/25/2023","10:52:46","1115","Axial","vinte e oito","78.53979","18,031.19 ","23.51","cp6"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
